part1: 133600; part2: 2256300; part3: 165200
part1: 16300; part2: 1995300; part3: 167100
part1: 12700; part2: 2130400; part3: 91700
part1: 15200; part2: 1849800; part3: 101800
part1: 11600; part2: 1057000; part3: 80800
part1: 11600; part2: 982100; part3: 78400
part1: 7900; part2: 1128600; part3: 87600
part1: 11600; part2: 537200; part3: 75800
part1: 13100; part2: 880000; part3: 138700
part1: 13400; part2: 866900; part3: 77100
part1: 13300; part2: 499000; part3: 246200
part1: 13400; part2: 1094900; part3: 258600
part1: 13100; part2: 920400; part3: 196200
part1: 13100; part2: 942300; part3: 184300
part1: 13800; part2: 956800; part3: 145400
part1: 11900; part2: 923800; part3: 308800
part1: 23900; part2: 1081700; part3: 149200
part1: 13700; part2: 886700; part3: 155500
part1: 164200; part2: 489000; part3: 86600
part1: 12900; part2: 484700; part3: 91300
part1: 12600; part2: 534600; part3: 99400
part1: 14300; part2: 526600; part3: 78500
part1: 12100; part2: 542000; part3: 90700
part1: 13000; part2: 565000; part3: 108100
part1: 11400; part2: 514200; part3: 83600
part1: 13700; part2: 518600; part3: 85000
part1: 12700; part2: 524200; part3: 81900
part1: 14500; part2: 529300; part3: 81500
part1: 12900; part2: 522300; part3: 83700
part1: 14000; part2: 694400; part3: 150300
part1: 12400; part2: 981200; part3: 154400
part1: 23300; part2: 1043100; part3: 156600
part1: 15300; part2: 1110600; part3: 161500
part1: 15700; part2: 1095900; part3: 175100
part1: 14200; part2: 791300; part3: 321100
part1: 19400; part2: 1033900; part3: 163500
part1: 13900; part2: 997200; part3: 156200
part1: 13700; part2: 1026800; part3: 150400
part1: 29200; part2: 1002000; part3: 164200
part1: 16000; part2: 975200; part3: 145100
part1: 52400; part2: 1050000; part3: 187100
part1: 18900; part2: 942600; part3: 183800
part1: 16300; part2: 953300; part3: 191400
part1: 14700; part2: 1332400; part3: 159700
part1: 15900; part2: 927200; part3: 217800
part1: 28400; part2: 856200; part3: 171500
part1: 55100; part2: 1132900; part3: 237200
part1: 19300; part2: 640500; part3: 95300
part1: 13500; part2: 634400; part3: 216100
part1: 21200; part2: 717200; part3: 117300
part1: 27100; part2: 580200; part3: 86100
part1: 19600; part2: 846300; part3: 184200
part1: 20700; part2: 1169800; part3: 174300
part1: 27200; part2: 1050000; part3: 246300
part1: 17800; part2: 1304700; part3: 387100
part1: 23100; part2: 8456900; part3: 211500
part1: 29000; part2: 932300; part3: 219600
part1: 17000; part2: 1248300; part3: 313400
part1: 18500; part2: 883400; part3: 188700
part1: 16100; part2: 819400; part3: 245200
part1: 19100; part2: 809100; part3: 187400
part1: 17300; part2: 1025300; part3: 218600
part1: 16100; part2: 1033800; part3: 167500
part1: 14700; part2: 914000; part3: 252200
part1: 43600; part2: 972800; part3: 1249100
part1: 51400; part2: 1063800; part3: 262600
part1: 23000; part2: 961000; part3: 1722800
part1: 256800; part2: 1277600; part3: 253600
part1: 21500; part2: 1004900; part3: 298600
part1: 25200; part2: 1234400; part3: 288300
part1: 19300; part2: 791200; part3: 176500
part1: 20900; part2: 768300; part3: 87800
part1: 17100; part2: 849400; part3: 213900
part1: 23200; part2: 760400; part3: 175600
part1: 28200; part2: 1033500; part3: 190100
part1: 18500; part2: 1116100; part3: 294600
part1: 12900; part2: 753400; part3: 152300
part1: 19200; part2: 1277200; part3: 333900
part1: 15800; part2: 410100; part3: 77400
part1: 11900; part2: 434600; part3: 79700
part1: 10500; part2: 427800; part3: 86000
part1: 10100; part2: 508600; part3: 83300
part1: 23300; part2: 1077700; part3: 131800
part1: 22000; part2: 956600; part3: 182400
part1: 17500; part2: 752500; part3: 190700
part1: 16100; part2: 992600; part3: 166900
part1: 28800; part2: 998600; part3: 171600
part1: 13900; part2: 823500; part3: 167900
part1: 14600; part2: 1325600; part3: 210800
part1: 15900; part2: 973200; part3: 168100
part1: 21900; part2: 837300; part3: 195200
part1: 18000; part2: 1008300; part3: 178100
part1: 11200; part2: 495100; part3: 80500
part1: 6700; part2: 730300; part3: 131200
part1: 27100; part2: 546700; part3: 83400
part1: 17300; part2: 590200; part3: 74900
part1: 9900; part2: 369700; part3: 78400
part1: 7800; part2: 495900; part3: 73200
part1: 7800; part2: 445700; part3: 71900
part1: 7600; part2: 601600; part3: 77800
part1: 25300; part2: 397900; part3: 78900
part1: 8800; part2: 476400; part3: 74200
part1: 9600; part2: 365100; part3: 74000
part1: 8800; part2: 526700; part3: 90100
part1: 15300; part2: 482100; part3: 167900
part1: 9900; part2: 711500; part3: 126200
part1: 133000; part2: 692700; part3: 221100
part1: 7200; part2: 441100; part3: 181400
part1: 8800; part2: 375900; part3: 192600
part1: 6200; part2: 553200; part3: 209700
part1: 6000; part2: 462200; part3: 190800
part1: 5100; part2: 603500; part3: 189800
part1: 5100; part2: 449800; part3: 189400
part1: 4900; part2: 412000; part3: 195300
part1: 5000; part2: 620500; part3: 197300
part1: 5600; part2: 464000; part3: 198000
part1: 3800; part2: 477300; part3: 196700
part1: 5500; part2: 617400; part3: 208500
part1: 5100; part2: 379300; part3: 191500
part1: 6600; part2: 500100; part3: 191100
part1: 5100; part2: 527500; part3: 189700
part1: 5300; part2: 527800; part3: 308500
part1: 5700; part2: 742500; part3: 198400
part1: 18100; part2: 590400; part3: 202700
part1: 10400; part2: 454800; part3: 190600
part1: 5400; part2: 440700; part3: 192000
part1: 5300; part2: 474700; part3: 189700
part1: 5100; part2: 556400; part3: 196600
part1: 5800; part2: 705100; part3: 198900
part1: 6400; part2: 515400; part3: 208700
part1: 6000; part2: 491500; part3: 215500
part1: 5900; part2: 484200; part3: 202000
part1: 10700; part2: 496200; part3: 190100
part1: 5200; part2: 551200; part3: 195600
part1: 5000; part2: 665800; part3: 198200
part1: 5400; part2: 544600; part3: 198000
part1: 5700; part2: 493500; part3: 186100
part1: 3400; part2: 427200; part3: 301700
part1: 3900; part2: 487000; part3: 196400
part1: 6300; part2: 726500; part3: 326900
part1: 30500; part2: 679900; part3: 196900
part1: 5400; part2: 412300; part3: 207600
part1: 4100; part2: 383200; part3: 292100
part1: 4000; part2: 456300; part3: 201000
part1: 3700; part2: 503300; part3: 201300
part1: 3700; part2: 534300; part3: 191600
part1: 5000; part2: 502200; part3: 190400
part1: 3400; part2: 396200; part3: 187200
part1: 3300; part2: 357300; part3: 201000
part1: 3400; part2: 452300; part3: 197700
part1: 3600; part2: 469900; part3: 192100
part1: 3500; part2: 527400; part3: 192100
part1: 3600; part2: 561900; part3: 202200
part1: 3700; part2: 453600; part3: 196700
part1: 3500; part2: 375900; part3: 211100
part1: 3500; part2: 564000; part3: 188600
part1: 5600; part2: 468200; part3: 227500
part1: 26500; part2: 825100; part3: 289400
part1: 3900; part2: 364800; part3: 182800
part1: 3300; part2: 426100; part3: 181900
part1: 3500; part2: 389600; part3: 204100
part1: 3600; part2: 457600; part3: 186500
part1: 3300; part2: 443500; part3: 197600
part1: 3400; part2: 531200; part3: 193200
part1: 3500; part2: 468500; part3: 209700
part1: 6300; part2: 415000; part3: 198000
part1: 4500; part2: 540800; part3: 199000
part1: 4500; part2: 453200; part3: 192000
part1: 4200; part2: 433700; part3: 191700
part1: 2600; part2: 499100; part3: 191800
part1: 2600; part2: 471800; part3: 208800
part1: 2700; part2: 517900; part3: 198200
part1: 2600; part2: 439200; part3: 193500
part1: 2600; part2: 512500; part3: 236200
part1: 3800; part2: 476500; part3: 197700
part1: 9900; part2: 668700; part3: 214700
part1: 22600; part2: 572500; part3: 183500
part1: 4500; part2: 538700; part3: 198900
part1: 6200; part2: 478700; part3: 186700
part1: 4300; part2: 431200; part3: 228600
part1: 4600; part2: 456200; part3: 355100
part1: 6300; part2: 443500; part3: 205900
part1: 3700; part2: 463900; part3: 200200
part1: 3000; part2: 587600; part3: 188500
part1: 4900; part2: 452400; part3: 197500
part1: 4700; part2: 448800; part3: 191200
part1: 4900; part2: 441800; part3: 190500
part1: 5900; part2: 404100; part3: 192000
part1: 2800; part2: 449400; part3: 191300
part1: 5000; part2: 605400; part3: 206200
part1: 12200; part2: 498700; part3: 211100
part1: 8400; part2: 545700; part3: 238300
part1: 10700; part2: 114300; part3: 233100
part1: 15300; part2: 110200; part3: 213800
part1: 4200; part2: 54600; part3: 179900
part1: 4000; part2: 53100; part3: 180600
part1: 4000; part2: 52800; part3: 180800
part1: 3900; part2: 51900; part3: 182900
part1: 3900; part2: 60800; part3: 180400
part1: 2500; part2: 50900; part3: 180100
part1: 2400; part2: 52500; part3: 180200
part1: 2500; part2: 51600; part3: 180000
part1: 2700; part2: 55800; part3: 178800
part1: 4500; part2: 51800; part3: 179300
part1: 2400; part2: 51600; part3: 181400
part1: 2400; part2: 51100; part3: 179000
part1: 2400; part2: 54300; part3: 180100
part1: 3100; part2: 56300; part3: 180100
part1: 2500; part2: 56500; part3: 180000
part1: 2400; part2: 54800; part3: 180100
part1: 2500; part2: 51900; part3: 181900
part1: 2500; part2: 51200; part3: 180400
part1: 2400; part2: 52400; part3: 179900
part1: 2500; part2: 52400; part3: 180500
part1: 2400; part2: 52200; part3: 180400
part1: 2400; part2: 51700; part3: 179800
part1: 2400; part2: 54000; part3: 190600
part1: 2500; part2: 51600; part3: 263800
part1: 2500; part2: 52500; part3: 191500
part1: 2500; part2: 52400; part3: 180800
part1: 2300; part2: 52200; part3: 182600
part1: 2300; part2: 53700; part3: 218900
part1: 2300; part2: 51600; part3: 181600
part1: 2900; part2: 54900; part3: 248000
part1: 4100; part2: 70500; part3: 267700
part1: 5200; part2: 84300; part3: 356700
part1: 7300; part2: 122100; part3: 345900
part1: 4400; part2: 92500; part3: 391100
part1: 11400; part2: 176000; part3: 394300
part1: 8400; part2: 186800; part3: 343100
part1: 5900; part2: 110100; part3: 239300
part1: 5600; part2: 90200; part3: 285300
part1: 3300; part2: 64600; part3: 222900
part1: 4400; part2: 98300; part3: 397500
part1: 5100; part2: 119800; part3: 352300
part1: 7600; part2: 65300; part3: 242900
part1: 5200; part2: 74100; part3: 296300
part1: 6000; part2: 63100; part3: 215800
part1: 7500; part2: 72900; part3: 207900
part1: 7500; part2: 92700; part3: 319800
part1: 5300; part2: 67900; part3: 328200
part1: 8600; part2: 63600; part3: 293400
part1: 8200; part2: 107200; part3: 404900
part1: 9900; part2: 115600; part3: 341800
part1: 10300; part2: 75000; part3: 279100
part1: 7500; part2: 73200; part3: 311700
part1: 9000; part2: 95600; part3: 418600
part1: 7800; part2: 107200; part3: 415800
part1: 7900; part2: 108600; part3: 415600
part1: 7500; part2: 99200; part3: 590100
part1: 32200; part2: 190400; part3: 381700
part1: 11800; part2: 100900; part3: 302300
part1: 6800; part2: 76000; part3: 218800
part1: 4500; part2: 71000; part3: 293500
part1: 6000; part2: 62600; part3: 255700
part1: 4900; part2: 60400; part3: 279900
part1: 8500; part2: 109100; part3: 387300
part1: 8200; part2: 98300; part3: 434500
part1: 7100; part2: 96900; part3: 409000
part1: 6700; part2: 84700; part3: 360700
part1: 24900; part2: 104000; part3: 370100
